Category,Component / Listing,Description,Qty Needed,Price (CAD),Amazon
Microcontroller,UNO R3 Board ATmega328P,Arduino Uno R3 compatible board,1,13.93,https://www.amazon.ca/dp/B0FX9JYY9L
Motors + Wheels,4Set DC Electric TT Prewired Gear Motor Wheel Kit,4 TT motors with wheels,1 set,18.52,https://www.amazon.ca/dp/B098Q1BCX5
Motor Driver,L298N Motor Driver Controller Board Module,Dual H-Bridge motor driver,1,7.26,https://www.amazon.ca/dp/B0FVG4FK17
Remote Control,CANADUINO IR Remote Control,IR receiver and remote,1,7.50,https://www.amazon.ca/dp/B0CYCFTVS2
Ultrasonic Sensor,CANADUINO 3 × HC-SR04,Ultrasonic distance sensors,1 pack,8.29,https://www.amazon.ca/dp/B075CRBS56
LEDs,Eisco Labs 5mm Red LEDs,5mm red LEDs pack of 10,2 packs,10.14,https://www.amazon.ca/dp/B011CWZ5DG
Resistors,10 Pieces 0.5W 220Ω 5% Resistor,220Ω resistors pack of 10,2 packs,4.99,https://www.amazon.ca/dp/B0CBCM5XVK
Power Supply,2 × AA Battery Holder with On/Off Switch,2×AA battery holder,1,2.86,https://www.amazon.ca/dp/B09159L7BY
Misc.,ELEGOO 6PCS 170-Point Mini Breadboard Kit,Mini breadboard pack,1 pack,8.54,https://www.amazon.ca/dp/B071DF1WBX
Misc.,CANADUINO 120pc Dupont Jumper Wires,Jumper wire pack,1 pack,5.99,https://www.amazon.ca/dp/B09TZHGLCM
Adhesive,Teskyer Double-Sided Mounting Tape,16.4ft × 0.59in mounting tape,1,9.88,https://www.amazon.ca/dp/B096WYFQM8
